doc_id,n_sentences,n_tokens,n_words,dct,title,n_chars,n_paragraphs,mean_words_per_sentence,n_entities,categories,cache_file
wn-0159,7,164,145,2006-12-08,STS-116 launch scrubbed,847,4,20.71,14,international space station|north america|space|united states|nasa,wn-0159.spacy
wn-0160,8,194,167,2006-12-10,"Planets Jupiter, Mercury and Mars line up, visible to naked eye",918,4,20.88,21,"mars|north america|miami, florida|united states|massachusetts|astronomy|mercury (planet)|space|jupiter|science and technology",wn-0160.spacy
wn-0161,12,265,235,2006-12-11,Discovery docks with International Space Station,1374,5,19.58,23,international space station|north america|space shuttle discovery|space|united states|nasa|science and technology,wn-0161.spacy
wn-0162,9,263,228,2006-12-12,Convicted sex offenders in US targeted for on-line identity registration,1449,4,25.33,20,virginia|myspace|north america|united states|crime and law|internet,wn-0162.spacy
wn-0163,18,421,359,2006-12-27,European telescope searches for planets,2153,9,19.94,23,europe|france|baikonur cosmodrome|space|world|science and technology|soyuz programme|astronomy,wn-0163.spacy
wn-0164,16,367,307,2007-01-04,Saturn's moon Titan hosts liquid lakes and rivers,1693,6,19.19,23,university college london|saturn (planet)|titan (moon)|space|geology|science and technology|astronomy,wn-0164.spacy
wn-0165,7,199,170,2007-01-06,Meteorite falls through roof of house in New Jersey,944,3,24.29,7,new jersey|north america|space|united states|orbital debris|science and technology,wn-0165.spacy
wn-0166,6,177,158,2007-01-10,Iranian news agency reports UFO has crashed in Kerman province,904,4,26.33,12,wackynews|middle east|iran|ufo|space|science and technology|asia,wn-0166.spacy
wn-0167,13,341,304,2007-01-18,China shoots down weather satellite with ballistic missile,1772,7,23.38,32,australia|china|north america|canada|united states|oceania|weather|asia|politics and conflicts|military|space,wn-0167.spacy
wn-0168,14,282,246,2007-01-19,US air force colonel claims he spotted UFOs over Arkansas,1408,4,17.57,22,wackynews|arkansas|ufo|north america|space|united states,wn-0168.spacy
wn-0169,18,386,334,2007-01-20,Kuiper Belt object to become comet in approx. 2 million years,1746,8,18.56,21,comets|kuiper belt|california|space|physics|science and technology|astronomy,wn-0169.spacy
wn-0170,20,462,406,2007-01-24,MySpace to display AMBER Alerts,2497,10,20.3,27,myspace|missing persons|north america|united states|internet|computing,wn-0170.spacy
wn-0171,29,383,304,2007-01-26,"Locals and officer claim to have seen a UFO in Charlotte, North Carolina",1642,4,10.48,16,wackynews|north carolina|ufo|north america|space|united states|science and technology,wn-0171.spacy
wn-0172,13,320,282,2007-01-30,MySpace shares its database of sex offenders,1775,5,21.69,23,myspace|united states|internet|computing,wn-0172.spacy
wn-0173,17,427,375,2007-01-30,Primary camera on Hubble Space Telescope shut down,2214,4,22.06,31,space|north america|hubble space telescope|united states|nasa|science and technology,wn-0173.spacy
wn-0174,7,157,137,2007-01-30,Zenit rocket explodes on launch pad,813,3,19.57,14,europe|netherlands|disasters and accidents|north america|space|united states|science and technology,wn-0174.spacy
wn-0175,21,321,286,2007-02-02,Locals claim to have witnessed multiple UFOs over north London,1563,3,13.62,17,wackynews|united kingdom|europe|england|ufo|space|london|science and technology,wn-0175.spacy
wn-0176,28,660,560,2007-02-08,New stars found in Southern Cross,3252,10,20.0,69,australia|oceania|papua new guinea|astronomy|melanesia|south america|space|brazil|physics|science and technology|new zealand,wn-0176.spacy
wn-0177,9,205,181,2007-02-17,NASA launches satellites to study northern lights,1183,4,20.11,16,nasa|university of alberta|north america|canada|united states|university of calgary|space|physics|science and technology,wn-0177.spacy
wn-0178,22,600,522,2007-02-17,Reconnaissance Orbiter finds more evidence of water on the planet Mars,3114,8,23.73,23,"arizona|north america|mars reconnaissance orbiter|united states|geology|university of arizona|tucson, arizona|space|nasa|science and technology",wn-0178.spacy
wn-0179,22,552,479,2007-02-23,"NASA detects dry, dusty atmospheres on extrasolar planets",2746,8,21.77,41,nasa|united_states|north_america|jet propulsion laboratory|chemistry|astronomy|science_and_technology|exoplanets|the astrophysical journal|space|physics,wn-0179.spacy
wn-0180,18,387,343,2007-02-25,Iranian TV station announces first space rocket launch,2099,5,19.06,29,politics and conflicts|mahmoud ahmadinejad|middle east|iran|nuclear proliferation|space|nuclear weapons|science and technology,wn-0180.spacy
wn-0181,12,187,166,2007-03-03,"Full lunar eclipse due on March 3, 2007",912,6,13.83,22,space|world|culture and entertainment|the moon,wn-0181.spacy
wn-0182,44,876,793,2007-03-09,Rocketeers find possible impact crater in Nevada,4714,11,18.02,29,nevada|north america|space|united states|science and technology|environment,wn-0182.spacy
wn-0183,16,548,480,2007-03-13,"Saturn's moon Enceladus may host ""internal life""",2757,9,30.0,25,saturn (planet)|jet propulsion laboratory|chemistry|space|biology|nasa|science and technology,wn-0183.spacy
wn-0184,11,315,281,2007-03-16,Massive ice deposits found on Mars,1512,6,25.55,20,europe|mars|jet propulsion laboratory|chemistry|extraterrestrial water|education|environment|space|nasa|science and technology,wn-0184.spacy
wn-0185,12,207,177,2007-03-19,Former Arizona Governor says he saw a UFO during the 1997 Phoenix Lights,1017,4,14.75,14,wackynews|arizona|ufo|north america|space|united states|science and technology,wn-0185.spacy
wn-0186,8,144,125,2007-03-21,SpaceX Falcon I launches from Kwajalein Atoll,721,4,15.62,14,falcon 1|north america|california|space|united states|spacex|science and technology,wn-0186.spacy
wn-0187,7,166,144,2007-03-21,SpaceX Falcon I rocket fails to orbit test satellite,817,3,20.57,17,space|falcon 1|spacex|science and technology,wn-0187.spacy
wn-0188,14,398,340,2007-03-22,"Oil exploration in California, USA reveals giant impact crater",2034,7,24.29,27,"north america|california|space|united states|geology|science and technology|san diego, california",wn-0188.spacy
wn-0189,13,283,238,2007-03-23,French Space Agency CNES releases UFO files,1461,8,18.31,23,europe|france|ufo|space|science and technology,wn-0189.spacy
wn-0190,12,345,308,2007-04-12,Plants on other planets may not be green,1882,6,25.67,16,nasa|science and technology|space|united states|biology|chemistry,wn-0190.spacy
wn-0191,12,272,234,2007-04-14,Canada contributes weather station to NASA Mars mission,1476,6,19.5,37,mars|north america|weather|phoenix mission|canada|united states|space|nasa|science and technology,wn-0191.spacy
wn-0192,14,405,356,2007-04-14,NASA: Series of errors led to loss of Mars Global Surveyor,2205,8,25.43,35,disasters and accidents|mars|north america|united states|jet propulsion laboratory|computing|chemistry|space|nasa|science and technology,wn-0192.spacy
wn-0193,22,591,506,2007-04-20,Gunman kills self and hostage in Texas NASA building,3000,10,23.0,65,texas|north america|crime and law|united states|nasa,wn-0193.spacy
wn-0194,10,263,226,2007-04-21,Space tourist returns to Earth after 14 day trip,1329,3,22.6,27,hungary|international space station|europe|kazakhstan|space|science and technology|soyuz programme|asia,wn-0194.spacy
wn-0195,6,161,143,2007-04-23,India's first commercial satellite launch,925,3,23.83,20,india|space|italy|science and technology|asia,wn-0195.spacy
wn-0196,12,315,267,2007-04-24,Newly discovered extra-solar planet may be Earth-like,1542,9,22.25,37,europe|france|portugal|switzerland|world|astronomy|european southern observatory|south america|chile|space|science and technology,wn-0196.spacy
wn-0197,11,278,227,2007-05-03,Gay not an option on MySpace profiles,1316,6,20.64,18,culture and entertainment|lgbt|same-sex marriage|myspace|world|science and technology|internet,wn-0197.spacy
wn-0198,9,239,215,2007-05-08,NASA observes largest supernova on record,1214,2,23.89,14,physics|space|nasa|science and technology|astronomy,wn-0198.spacy
wn-0199,7,182,154,2007-05-11,Hottest planet to date found in the constellation Hercules,895,5,22.0,17,exoplanets|physics|space|nasa|science and technology|astronomy,wn-0199.spacy
wn-0200,8,210,185,2007-05-11,Hubble Space Telescope successor unveiled by NASA,1065,5,23.12,28,hubble space telescope|northrop grumman|north america|space|united states|nasa|science and technology,wn-0200.spacy
wn-0201,12,239,204,2007-05-12,Object that fell through roof of New Jersey home not a meteorite,1148,5,17.0,9,new jersey|disasters and accidents|north america|united states|rutgers university|orbital debris|wackynews|space|science and technology,wn-0201.spacy
wn-0202,7,226,185,2007-05-14,"User-generated content, other high-bandwidth websites blocked for U.S. soldiers",1191,4,26.43,26,politics and conflicts|mtv|myspace|north america|media|united states|internet|youtube,wn-0202.spacy
wn-0203,15,378,324,2007-05-17,Recently discovered planet may contain 'hot ice',1799,7,21.6,32,europe|science and technology|extraterrestrial water|space|physics|chemistry|astronomy,wn-0203.spacy
wn-0204,22,524,455,2007-05-22,Spirit Rover on Mars finds water made 'silica-rich soil',2632,9,20.68,42,cornell university|mars|extraterrestrial water|space|jet propulsion laboratory|nasa|science and technology,wn-0204.spacy
wn-0205,10,286,250,2007-06-03,Space Shuttle Atlantis set for June 8 launch despite worker strike,1530,6,25.0,28,international space station|space shuttle atlantis|north america|space|united states|nasa|science and technology,wn-0205.spacy
wn-0206,16,389,331,2007-06-09,"Atlantis launched, heads for International Space Station",1981,8,20.69,41,international space station|space shuttle atlantis|world|space|united states|nasa|science and technology,wn-0206.spacy
wn-0207,9,245,211,2007-06-09,Heat protection system on Space Shuttle Atlantis damaged during liftoff,1186,7,23.44,27,international space station|space shuttle atlantis|disasters and accidents|north america|space|united states|nasa|science and technology,wn-0207.spacy
wn-0208,9,201,167,2007-06-11,"Atlantis docks, astronauts ready for spacewalk",1021,6,18.56,26,extra-vehicular activity|international space station|space shuttle atlantis|space|united states|nasa,wn-0208.spacy
wn-0209,10,266,241,2007-06-12,Left wing of Atlantis may have been damaged,1333,5,24.1,21,space shuttle atlantis|disasters and accidents|space|nasa|science and technology,wn-0209.spacy
wn-0210,7,197,174,2007-06-12,NASA extends Space Shuttle Atlantis' mission,966,5,24.86,21,nasa|space|world|science and technology,wn-0210.spacy
wn-0211,18,457,402,2007-06-12,Recent 'Earth-like planet' found in April 'too hot' for life say some scientists,2251,8,22.33,27,germany|space|united states|physics|science and technology|astronomy,wn-0211.spacy
wn-0212,13,472,422,2007-06-13,"Mars was once covered by oceans, study says",2394,9,32.46,46,marine science|mars|california|space|united states|geology|science and technology,wn-0212.spacy
wn-0213,15,421,367,2007-06-14,Shuttle mission may be extended further due to ISS computer failure,2108,9,24.47,31,international space station|space shuttle atlantis|space|nasa|science and technology,wn-0213.spacy
wn-0214,9,204,179,2007-06-15,Astronauts fix thermal blanket on Atlantis,998,6,19.89,14,space|space shuttle atlantis|nasa|science and technology,wn-0214.spacy
wn-0215,18,354,303,2007-06-16,ISS crew bypass faulty switch to power-up computers,1802,10,16.83,32,europe|north america|united states|international space station|space shuttle atlantis|russia|space|nasa|science and technology,wn-0215.spacy
wn-0216,16,335,301,2007-06-21,Landing of Space Shuttle Atlantis postponed due to bad weather,1833,5,18.81,30,international space station|space shuttle atlantis|iain macdonald (wikinewsie)|north america|weather|space|united states|nasa,wn-0216.spacy
wn-0217,17,548,493,2007-06-22,Space Shuttle Atlantis lands in California,2976,6,29.0,53,iain macdonald (wikinewsie)|north america|weather|california|united states|international space station|space shuttle atlantis|space|nasa,wn-0217.spacy
wn-0218,9,210,190,2007-06-28,European Space Agency seeks volunteers for Mars simulation,1066,5,21.11,27,space|europe|science and technology|mars,wn-0218.spacy
wn-0219,13,320,292,2007-07-10,NASA readies Mars lander for launch,1705,4,22.46,38,phoenix mission|mars|chemistry|space|united states|nasa|science and technology,wn-0219.spacy
wn-0220,9,250,219,2007-07-11,Police investigate Youtube video of two year old 'on ecstacy',1187,4,24.33,11,myspace|north america|united states|crime and law|mdma|youtube,wn-0220.spacy
wn-0221,8,263,223,2007-07-12,NASA says water found on exoplanet,1392,6,27.88,23,hubble space telescope|exoplanets|european space agency|extraterrestrial water|chemistry|space|nasa|science and technology,wn-0221.spacy
wn-0222,11,191,163,2007-07-26,NASA says worker tried to sabotage ISS,961,5,14.82,14,nasa|international space station|north america|space|united states|crime and law|science and technology,wn-0222.spacy
wn-0223,9,214,182,2007-07-27,"Blast kills three at Mojave Spaceport, California",1149,6,20.22,25,northrop grumman|disasters and accidents|california|space|united states|science and technology,wn-0223.spacy
wn-0224,7,170,153,2007-07-31,Alan Turing Building opens at University of Manchester,937,4,21.86,9,united kingdom|europe|mathematics|alan turing|astronomy|physics|science and technology|education,wn-0224.spacy
wn-0225,10,270,232,2007-08-07,Largest exoplanet so far is discovered,1344,4,23.2,25,exoplanets|arizona|space|united states|physics|science and technology|astronomy,wn-0225.spacy
wn-0226,15,368,330,2007-08-11,'Gouge' found on wing of Space Shuttle Endeavour,1792,6,22.0,25,international space station|disasters and accidents|north america|space|united states|nasa|science and technology,wn-0226.spacy
wn-0227,11,231,206,2007-08-11,Home video captures alleged UFOs in Haiti,1155,4,18.73,15,wackynews|haiti|space|world|science and technology,wn-0227.spacy
wn-0228,9,190,171,2007-08-13,Annual Perseids meteor shower visible in northern hemisphere,1000,4,19.0,13,space|world|environment,wn-0228.spacy
wn-0229,9,249,222,2007-08-21,Space Shuttle Endeavour to return to Earth on Tuesday,1269,5,24.67,30,north america|weather|united states|nasa|science and technology,wn-0229.spacy
wn-0230,10,243,214,2007-09-05,Proton rocket fails during launch of JCSAT-11 satellite,1395,5,21.4,24,russia|environment|disasters and accidents|kazakhstan|baikonur cosmodrome|space|science and technology|asia,wn-0230.spacy
wn-0231,10,212,192,2007-09-10,Cassini space probe to flyby Saturn's moon Iapetus,1145,4,19.2,25,geology|saturn (planet)|space|nasa|science and technology,wn-0231.spacy
wn-0232,5,159,144,2007-09-13,$20 million prize offered in lunar rover contest,794,3,28.8,19,space|robotics|science and technology|the moon,wn-0232.spacy
wn-0233,8,243,214,2007-09-19,Japan's lunar probe performing 'smoothly' after successful launch,1223,5,26.75,29,the moon|chemistry|japan|space|science and technology|asia,wn-0233.spacy
wn-0234,23,594,500,2007-09-19,NASA prepares to launch mission to nearby asteroids,2891,5,21.74,67,north america|united states|oceania|astronomy|marshall islands|micronesia|space|nasa|science and technology,wn-0234.spacy
wn-0235,18,477,415,2007-09-20,Meteorite blamed for mysterious illness in Peru,2510,5,23.06,31,peru|south america|health|space|jet propulsion laboratory,wn-0235.spacy
wn-0236,6,155,135,2007-09-21,Peruvian crater caused by meteor,808,4,22.5,16,natural disasters|peru|disasters and accidents|geology|university of arizona|south america|health|space|science and technology,wn-0236.spacy
wn-0237,11,359,314,2007-09-24,Seven caves found on Mars: NASA,1831,5,28.55,28,united states geological survey|mars|space|united states|nasa|science and technology,wn-0237.spacy
wn-0238,16,445,380,2007-10-04,NASA says star system contains 'earth-like planet' in the making,2222,6,23.75,24,physics|space|nasa|science and technology|astronomy,wn-0238.spacy
wn-0239,15,424,365,2007-10-05,Construction on massive radio telescope array to begin in 2012,2213,6,24.33,43,united kingdom|south africa|australia|space|science and technology|astronomy,wn-0239.spacy
wn-0240,15,362,328,2007-10-24,China launches space probe to the moon,1882,6,21.87,48,science and technology|the moon|china|space|physics|chemistry|asia,wn-0240.spacy
wn-0241,10,308,273,2007-10-24,Evidence of 'shattered moon' found inside rings of Saturn,1577,5,27.3,19,geology|colorado|saturn (planet)|space|united states|nasa|science and technology|astronomy,wn-0241.spacy
wn-0242,15,407,355,2007-10-27,Unexpected comet 'outburst' could be visible for weeks,1982,7,23.67,27,comets|space|world|science and technology,wn-0242.spacy
wn-0243,9,194,175,2007-11-05,Space Shuttle Discovery to return to Earth,1037,5,19.44,16,international space station|north america|space shuttle discovery|space|united states|nasa|science and technology,wn-0243.spacy
wn-0244,14,397,358,2007-11-20,International Space Station astronauts complete spacewalk,2116,4,25.57,40,extra-vehicular activity|international space station|north america|space|united states|nasa|science and technology,wn-0244.spacy
wn-0245,20,366,321,2007-11-28,NASA unveils detailed map of Antarctica,2011,6,16.05,35,nasa|antarctica|science and technology|national science foundation,wn-0245.spacy
wn-0246,14,390,337,2007-11-29,Venus was once more Earth-like than previously thought,2029,5,24.07,35,europe|university of oxford|space|venus|science and technology|environment,wn-0246.spacy
wn-0247,9,178,154,2007-12-05,GOES-12 weather satellite fails during adjustment,981,3,17.11,14,disasters and accidents|north america|weather|united states|environment|amazon rainforest|south america|space|science and technology,wn-0247.spacy
wn-0248,8,238,207,2007-12-09,Space Shuttle Atlantis launch delayed until 2008,1244,3,25.88,26,international space station|space shuttle atlantis|european space agency|north america|space|united states|nasa|science and technology,wn-0248.spacy
wn-0249,11,340,303,2007-12-13,Saturn's rings are much older than previously thought,1789,7,27.55,25,saturn (planet)|physics|space|nasa|science and technology|astronomy,wn-0249.spacy
wn-0250,7,157,140,2007-12-18,Brazilian-Argentine rocket successfully launched,844,2,20.0,21,buenos aires|atlantic ocean|south america|argentina|space|brazil|science and technology,wn-0250.spacy
wn-0251,9,272,239,2007-12-24,Astronomers say asteroid could hit Mars,1350,6,26.56,27,mars|space|jet propulsion laboratory|nasa|science and technology|astronomy,wn-0251.spacy
wn-0252,13,355,316,2008-01-04,Launch of Space Shuttle Atlantis once again delayed,1828,6,24.31,23,international space station|europe|european space agency|north america|space|united states|nasa|science and technology,wn-0252.spacy
wn-0253,12,309,269,2008-01-08,Sun begins Solar Cycle 24,1591,5,22.42,26,alaska|north america|space|united states|world|science and technology,wn-0253.spacy
wn-0254,19,492,433,2008-01-13,Hydrogen gas cloud to smash into Milky Way galaxy,2378,6,22.79,30,space|physics|science and technology|astronomy,wn-0254.spacy
wn-0255,20,447,392,2008-01-14,NASA spacecraft to begin collecting data on Mercury,2391,6,19.6,55,geology|messenger|science and technology|mercury (planet)|space|nasa|chemistry,wn-0255.spacy
wn-0256,15,363,313,2008-01-21,Israeli spy satellite launched by Indian rocket,1917,4,20.87,44,india|israel|nuclear proliferation|space|science and technology,wn-0256.spacy
wn-0257,12,341,300,2008-01-24,Asteroid to fly by Earth,1695,5,25.0,35,earth|physics|space|nasa|science and technology,wn-0257.spacy
wn-0258,18,369,316,2008-01-27,Disabled U.S. spy satellite to fall to Earth,1941,6,17.56,17,north america|space|united states,wn-0258.spacy
wn-0259,9,208,176,2008-01-28,Proton rocket launches Ekspress AM-33 comsat,1059,4,19.56,24,europe|russia|kazakhstan|baikonur cosmodrome|space|science and technology|asia,wn-0259.spacy
wn-0260,31,579,492,2008-02-02,NASA holds ceremony to commemorate anniversary of Space Shuttle Columbia disaster,2933,9,15.87,62,florida|israel|north america|disasters and accidents|iain macdonald (wikinewsie)|united states|texas|india|space|nasa,wn-0260.spacy
wn-0261,13,277,237,2008-02-02,NASA to beam Beatles song into deep space,1370,8,18.23,34,wackynews|spain|culture and entertainment|music|the beatles|space|nasa|science and technology,wn-0261.spacy
wn-0262,9,241,210,2008-02-05,Progress M-63 freighter en route to International Space Station,1293,5,23.33,34,europe|international space station|kazakhstan|russia|baikonur cosmodrome|space|soyuz programme|asia,wn-0262.spacy
wn-0263,8,233,203,2008-02-06,Space shuttle Atlantis set for launch with Columbus module,1197,4,25.38,24,europe|international space station|european space agency|space|united states|nasa,wn-0263.spacy
wn-0264,13,318,277,2008-02-07,Space Shuttle Atlantis launches on mission STS-122,1696,6,21.31,47,nasa|europe|north america|united states|international space station|space shuttle atlantis|space|rex walheim|science and technology,wn-0264.spacy
wn-0265,13,290,253,2008-02-09,Space Shuttle Atlantis docks with International Space Station,1532,8,19.46,33,europe|international space station|north america|space|united states,wn-0265.spacy
wn-0266,12,335,292,2008-02-11,Columbus module added to ISS during spacewalk,1780,4,24.33,40,europe|germany|european space agency|north america|united states|rex walheim|extra-vehicular activity|international space station|space|nasa|science and technology,wn-0266.spacy
wn-0267,9,234,201,2008-02-11,Proton rocket launches Thor 5 satellite,1215,4,22.33,27,norway|europe|russia|kazakhstan|baikonur cosmodrome|space|science and technology|asia,wn-0267.spacy
wn-0268,7,155,135,2008-02-13,'Bright' idea lights its way to win NASA contest,843,2,19.29,6,physics|north america|united states|nasa|science and technology,wn-0268.spacy
wn-0269,10,272,237,2008-02-13,Astronauts replace ISS nitrogen tank in spacewalk,1474,4,23.7,33,europe|germany|north america|united states|rex walheim|extra-vehicular activity|international space station|space|nasa|science and technology,wn-0269.spacy
wn-0270,11,254,217,2008-02-15,STS-122 astronauts perform third spacewalk,1372,4,19.73,25,extra-vehicular activity|europe|international space station|space shuttle atlantis|north america|space|united states|rex walheim,wn-0270.spacy
wn-0271,20,505,449,2008-02-15,US military to shoot down errant spy satellite,2699,5,22.45,15,space|united states|nasa|science and technology,wn-0271.spacy
wn-0272,14,378,335,2008-02-18,Shuttle Atlantis departs ISS as Endeavour rolls out for next launch,2037,4,23.93,43,europe|international space station|space|north america|japan|canada|united states|asia,wn-0272.spacy
wn-0273,14,360,306,2008-02-20,Space Shuttle Atlantis completes mission STS-122,1904,5,21.86,57,europe|international space station|space shuttle atlantis|north america|space|united states|rex walheim,wn-0273.spacy
wn-0274,14,380,331,2008-02-21,US Navy successfully destroys disabled spy satellite,2002,3,23.64,26,military|space|united states,wn-0274.spacy
wn-0275,7,249,213,2008-03-04,U.S. accuses China of developing space warfare,1282,5,30.43,29,politics and conflicts|military|china|space|united states|science and technology|north america|asia,wn-0275.spacy
wn-0276,7,181,158,2008-03-05,China delays newest rocket design to 2014,949,5,22.57,19,china|space|science and technology|asia,wn-0276.spacy
wn-0277,29,705,608,2008-03-09,Ariane 5 rocket launches first Automated Transfer Vehicle,3591,7,20.97,89,international space station|europe|space|european space agency,wn-0277.spacy
wn-0278,30,736,634,2008-03-11,Space Shuttle Endeavour launches for mission STS-123,3813,9,21.13,85,north america|japan|canada|united states|asia|international space station|space|nasa|science and technology,wn-0278.spacy
wn-0279,16,392,332,2008-03-13,Atlas V successfully launches spy satellite,1985,5,20.75,45,boeing|space|united states,wn-0279.spacy
wn-0280,13,336,287,2008-03-14,Proton rocket fails to launch AMC-14 satellite,1721,3,22.08,34,europe|russia|kazakhstan|baikonur cosmodrome|north america|space|united states|asia,wn-0280.spacy
wn-0281,14,388,341,2008-03-15,Cassini spacecraft collects sample from geyser on Saturn's moon Enceladus,2068,5,24.36,28,saturn (planet)|extraterrestrial water|chemistry|space|united states|nasa|science and technology,wn-0281.spacy
wn-0282,7,172,142,2008-03-15,Delta II launches GPS IIR-19 satellite,816,3,20.29,23,space|united states|science and technology,wn-0282.spacy
wn-0283,19,695,618,2008-03-18,NASA: Old Arctic sea ice continues to melt,3516,9,32.53,76,climate change|arctic|weather|world|nasa|environment,wn-0283.spacy
wn-0284,19,569,489,2008-03-19,Hubble detects methane on distant planet,2941,11,25.74,39,hubble space telescope|north america|united states|chemistry|university of arizona|exoplanets|space|nasa|science and technology,wn-0284.spacy
wn-0285,19,471,405,2008-03-20,Zenit rocket launches DirecTV-11 satellite,2438,7,21.32,55,norway|ukraine|russia|baikonur cosmodrome|television|space|united states|science and technology,wn-0285.spacy
wn-0286,18,468,412,2008-03-21,Scientists say that a 'global layer of water' exists on Saturn's moon Titan,2432,7,22.89,49,titan (moon)|jet propulsion laboratory|geology|marine science|extraterrestrial water|saturn (planet)|space|nasa|science and technology,wn-0286.spacy
wn-0287,12,226,189,2008-03-27,Kosmos-3M rocket launches fourth SAR-Lupe satellite,1131,4,15.75,28,military|europe|russia|germany|space|science and technology|northwestern federal district,wn-0287.spacy
wn-0288,17,340,291,2008-03-27,Space Shuttle Endeavour completes STS-123 mission,1767,5,17.12,55,europe|france|florida|north america|japan|canada|united states|soyuz programme|asia|international space station|space|science and technology,wn-0288.spacy
wn-0289,15,410,352,2008-03-28,Cassini discovers organic material on Saturn moon,2154,6,23.47,46,north america|united states|geology|chemistry|jet propulsion laboratory|saturn (planet)|space|nasa|science and technology,wn-0289.spacy
wn-0290,7,183,158,2008-04-02,US Air Force tests Minuteman III missile,946,3,22.57,19,military|united states air force|nuclear weapons|marshall islands|micronesia|california|space|united states,wn-0290.spacy
wn-0291,7,231,205,2008-04-04,UK sex offenders to be banned from some websites,1242,6,29.29,13,europe|sex crimes|jacqui smith|internet|united kingdom|politics and conflicts|myspace|bebo|facebook|crime and law,wn-0291.spacy
wn-0292,14,346,299,2008-04-08,Soyuz TMA-12 launches,1785,5,21.36,66,europe|south korea|baikonur cosmodrome|soyuz programme|asia|korean peninsula|international space station|russia|kazakhstan|space,wn-0292.spacy
wn-0293,19,512,443,2008-04-14,Atlas rocket launches ICO G1 satellite,2665,5,23.32,55,space|united states|science and technology,wn-0293.spacy
wn-0294,8,188,163,2008-04-16,Pegasus rocket launches C/NOFS satellite,976,3,20.38,25,marshall islands|micronesia|north america|space|united states|oceania|science and technology,wn-0294.spacy
wn-0295,23,576,492,2008-04-18,Ariane rocket launches Vietnam's first satellite,2982,6,21.39,61,europe|france|space|vietnam,wn-0295.spacy
wn-0296,12,284,241,2008-04-19,Soyuz TMA-11 spacecraft lands,1453,3,20.08,25,europe|south korea|north america|united states|soyuz programme|asia|korean peninsula|international space station|russia|kazakhstan|space,wn-0296.spacy
wn-0297,10,274,242,2008-04-25,Long March 3C rocket launches Tianlian-1 satellite,1402,3,24.2,32,china|space|science and technology|asia,wn-0297.spacy
wn-0298,6,223,185,2008-04-26,Shuttle Discovery moved to VAB ahead of May launch,1129,3,30.83,33,north america|japan|space shuttle discovery|united states|asia|international space station|space|nasa|science and technology,wn-0298.spacy
wn-0299,14,371,318,2008-04-27,Last Titan launch complex at Cape Canaveral demolished,1937,3,22.71,54,falcon 9|florida|dragon (spacecraft)|space|united states|spacex,wn-0299.spacy
wn-0300,9,224,188,2008-04-27,Soyuz rocket launches GIOVE-B satellite,1126,3,20.89,35,europe|international space station|russia|kazakhstan|baikonur cosmodrome|space|soyuz programme|asia,wn-0300.spacy
wn-0301,12,307,256,2008-04-28,PSLV rocket launches ten satellites,1588,3,21.33,47,europe|germany|north america|japan|canada|asia|sriharikota|netherlands|india|space|andhra pradesh|denmark,wn-0301.spacy
wn-0302,11,254,228,2008-04-28,Zenit rocket launches AMOS-3 satellite,1363,3,20.73,38,norway|ukraine|middle east|europe|baikonur cosmodrome|israel|north america|united states|asia|russia|kazakhstan|space,wn-0302.spacy
wn-0303,11,270,236,2008-05-15,Russia launches Progress spacecraft to resupply Space Station,1417,4,21.45,45,europe|international space station|russia|kazakhstan|baikonur cosmodrome|space|soyuz programme|asia,wn-0303.spacy
wn-0304,11,225,195,2008-05-21,Zenit rocket launches Galaxy 18 satellite,1187,4,17.73,28,norway|ukraine|russia|space|mexico|canada|united states,wn-0304.spacy
wn-0305,12,317,277,2008-05-22,First supernova seen during explosion breakout,1631,5,23.08,31,princeton university|space|physics|north america|united states|astronomy|swift gamma-ray burst mission|hubble space telescope|nasa|science and technology,wn-0305.spacy
wn-0306,21,521,468,2008-05-22,Signs of ancient hydrothermal vents found on Mars,2619,8,22.29,42,cornell university|science and technology|mars|space|extraterrestrial water,wn-0306.spacy
wn-0307,16,354,307,2008-05-23,Rokot launches three Gonets satellites,1849,5,19.19,43,ukraine|space|science and technology|russia,wn-0307.spacy
wn-0308,35,811,710,2008-05-26,NASA's Phoenix spacecraft lands safely on Mars,4346,12,20.29,100,mars|mars reconnaissance orbiter|phoenix mission|united states|jet propulsion laboratory|chemistry|space|nasa|science and technology,wn-0308.spacy
wn-0309,11,220,192,2008-05-27,Long March rocket launches first Fengyun-3 weather satellite,1138,4,17.45,29,china|weather|space,wn-0309.spacy
wn-0310,7,185,163,2008-05-28,Toilet on International Space Station breaks,913,4,23.29,16,international space station|space|nasa|science and technology|soyuz programme,wn-0310.spacy
wn-0311,103,2427,2079,2008-05-31,Space Shuttle Discovery launches on mission STS-124,12386,20,20.18,246,space shuttle discovery|international space station|florida|north america|japan|space|united states|asia,wn-0311.spacy
wn-0312,17,378,340,2008-06-01,NASA says Phoenix spacecraft may have landed on ice,1896,6,20.0,25,"arizona|mars|north america|phoenix mission|united states|chemistry|extraterrestrial water|university of arizona|tucson, arizona|space|nasa|science and technology",wn-0312.spacy
wn-0313,14,363,324,2008-06-02,Phoenix spacecraft makes first 'impression' on Mars,1851,6,23.14,30,phoenix mission|mars|chemistry|jet propulsion laboratory|space|biology|nasa|science and technology,wn-0313.spacy
